piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,max_avg_chord_stretch_window,p95_position_shift_window,avg_stretch_velocity_beats,p90_stretch_velocity_beats,avg_position_shift_speed_beats,max_position_shift_speed_beats,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,polyphonic_arpeggio_intensity_beats,avg_polyphony,total_notes,tempo_bpm,log_total_notes,repetition_ratio,max_note_density_window,true_label,predicted_label
"Partita II, BWV 1004: v. Ciaccona||J.S. Bach",0.5237715,-0.7979918,0.25045702,0.6827742,0.37266636,-0.2597705,-0.77286357,0.053725228,0.7594137,-0.5587727,0.659536,0.60473895,0.3702422,-0.24998192,-0.27604237,0.8230538,-0.52535045,-0.6361623,0.7933917,0.517026,-0.47458827,-0.42889443,-0.30751386,0.56713355,0.6407379,0.7555443,0.30094638,0.9999496,-0.39414945,0.9337013,0.39572543,0.3401815,7,6
Partita III: BWV 1006: i. Preludio||J.S. Bach,0.53158367,-0.7965436,0.12324779,0.7720675,0.5921232,0.17021316,-0.7424477,0.103480265,0.9188814,-0.43473873,0.96326625,0.7701013,0.054161023,0.032983493,-0.27604237,0.6950847,-0.5115441,-0.60874546,0.24343067,0.6603233,-0.4726946,-0.5700798,-0.48872474,-0.08264187,0.8855184,0.66350305,0.44613898,-0.2852376,-0.5937201,0.13927378,0.39195764,0.34108374,7,6
Partita III: BWV 1006: ii. Loure||J.S. Bach,0.5179179,-0.8053512,0.3112345,0.6517773,0.22245793,-0.1269467,-0.77286357,0.05454672,0.94438744,-0.43473873,0.063208655,0.94330436,0.06968366,-0.35261735,-0.2010118,0.55299914,-0.6633121,-0.9890794,0.69789785,0.99895555,-0.43363392,0.17446233,-0.63572717,-0.1429723,0.28860715,0.7327244,0.18363635,-0.74589247,-0.7398195,-0.44900906,0.47132435,0.33927864,5,3
"Partita in A Minor, BWV 1013: i. Allemande||J.S. Bach",0.53325415,-0.7899907,0.1876391,0.62900406,0.2884464,-0.06503091,-0.75036234,0.08648614,0.8704944,-0.43473873,0.11013638,0.8718087,0.23917283,0.052084003,-0.14309329,0.7675829,-0.5895691,-0.7818835,0.69621617,0.9771681,-0.44544128,-0.18035117,-0.48872474,-0.77107674,0.822354,0.39411375,0.41672924,0.37042305,-0.4699797,0.47876012,0.5502291,0.34917563,5,6
Petite Piece||Wolfgang Amadeus Mozart,0.53325415,-0.79039437,0.12324779,0.5895919,0.21846645,-0.5010383,-0.8000996,0.025767619,0.2926198,-0.43473873,-0.5834599,-0.15154974,0.6236593,-0.8332553,-0.27604237,0.88241106,-0.4970045,-0.53879166,0.89722794,0.10204736,-0.40913007,0.07824363,-0.74762833,-0.069294974,-0.35581982,0.7743441,0.16874225,-0.88199735,-0.8386986,-0.861695,0.46275032,0.33566085,1,0
Pictures at an Exhibition: Promenade (Pg. 11)||Modest Mussorgsky,0.50276625,-0.8118033,0.25045702,0.62372744,0.11321861,-0.36841306,-0.7868644,0.02749033,0.8964847,-0.5587727,0.5637426,-0.06375303,0.5685123,-0.66503257,-0.15822062,0.8750694,-0.55822784,-0.6361623,0.9084677,0.12024538,-0.50593287,0.19310944,-0.74762833,0.65710694,-0.7790497,0.9102456,-0.17181025,-0.7511819,-0.7398195,-0.46158633,0.3705544,0.3379231,7,2
Preludio No. 1||Francisco Tarrega,0.53325415,-0.8051322,0.25045702,0.67997396,0.24930798,-0.31586218,-0.76556677,0.052836433,0.6474994,-0.5587727,0.7154756,0.4232975,0.44169468,-0.40489444,-0.28459987,0.8488159,-0.56085676,-0.71675986,0.8562938,0.2533848,-0.41678938,-0.13571224,-0.63572717,0.69144326,-0.05972778,0.87837803,0.05583939,-0.8484629,-0.84643334,-0.74384993,0.3705544,0.3383751,2,3
Romance||Anonymous,0.53325415,-0.7755429,-0.008145033,0.795489,0.43050388,-0.24707575,-0.76556677,0.084104575,-0.32317543,-0.13426557,0.9739766,0.6680698,-0.15032502,-0.6084576,-0.50947064,0.7680853,-0.4425149,-0.42452785,0.7497146,0.33740178,-0.50113565,-0.74374133,-0.63572717,-0.27977306,0.8163847,0.3916405,0.41036993,-0.8922414,-0.913807,-0.8974782,0.37456998,0.32566106,2,1
Rondo||Napoleon Coste,0.53325415,-0.7947555,0.12324779,0.6385617,0.27273813,-0.47720125,-0.7935758,0.032844912,0.21717682,-0.43473873,0.100371696,0.26727733,0.5214015,-0.68855757,-0.36198565,0.8545309,-0.55369735,-0.7818835,0.7775035,0.38544255,-0.4530882,-0.016200705,-0.30751386,-0.12426333,0.11810028,0.95224565,0.1371749,-0.8099555,-0.6732896,-0.61992115,0.3905927,0.35007152,2,1
"Rondo, Op. 241 no. 34||Ferdinando Carulli",0.53325415,-0.7827456,0.057801683,0.6423326,0.45279112,-0.5362871,-0.8000996,0.025767619,-0.56418324,-0.29168147,0.4766842,-0.046029743,0.583896,-0.8781934,-0.45608684,0.87109244,-0.5041675,-0.6361623,0.730654,0.23606272,-0.47706693,-0.68685424,-0.48872474,-0.27818218,0.61734205,0.84166133,0.3557206,-0.6651994,-0.42739615,-0.28432027,0.37453216,0.35051924,1,1
