piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,avg_polyphony,total_notes,tempo_bpm,log_total_notes,repetition_ratio,true_label,predicted_label
Lesson 15: Waltz||Dionisio Aguado,0.7109136,-0.82498646,0.2736236,0.71742994,0.5773228,-0.4630575,-0.8065651,0.030131828,0.6648845,-0.58556956,0.6328098,0.68972445,0.67864186,-0.57515216,0.0344503,0.8557869,-0.78214186,-0.50899947,0.69724745,0.70607066,-0.9061536,-0.57141685,-0.9850143,0.70739746,0,2
Twenty-one Lessons: 18||Dionisio Aguado,0.7105439,-0.78741515,0.07783385,0.48741597,0.20425692,-0.66941315,-0.8125522,0.030131828,-0.6103023,-0.4029485,0.44451785,0.6796678,0.69765335,-0.97144794,0.18897119,0.9429179,-0.78214186,-0.9974498,-0.6268327,0.63717085,-0.78109854,-0.7743867,-0.81950194,0.84080094,1,0
Twenty-one Lessons: 19||Dionisio Aguado,0.7105439,-0.75087976,-0.316343,0.99758273,0.795498,-0.23950939,-0.7693223,0.21094148,0.07832775,0.060228854,0.89839476,0.95183176,-0.9199678,-0.92436856,0.17001244,-0.35857475,-0.78214186,-0.9998128,0.971225,0.7768012,-0.90847707,-0.91211253,-0.9867284,0.72998303,0,0
"Caprice, Op. 20 no. 2||Luigi Legnani",0.7105439,-0.78791803,0.2736236,0.86467415,0.51622546,-0.41084358,-0.80247945,0.22636029,0.05296764,-0.4029485,0.81038225,0.9399139,0.2829575,-0.28374428,0.12974083,0.31057855,-0.5159525,-0.73233247,0.64876205,0.7058021,-0.51516986,-0.91211253,-0.43237036,0.7374317,3,2
Estudio 10||Fernando Sor,0.7107533,-0.8187953,0.2736236,0.7198716,0.22979568,-0.09101215,-0.7983171,0.43197468,0.6439097,-0.58556956,0.7715757,0.8572566,0.32609597,0.28896576,-0.04981109,0.8957295,-0.0905043,-0.9166845,0.8483403,0.72368324,-0.2951827,-0.37587252,-0.18413441,0.91661507,2,5
Estudio 19||Fernando Sor,0.7105439,-0.75087976,-0.316343,0.71556515,0.7122959,-0.2859879,-0.8045318,0.13279271,0.923265,0.060228854,0.65589637,0.82404816,0.63052577,-0.13537979,0.18461907,-0.9818514,-0.0905043,-0.6792594,0.971225,0.7768012,-0.041331515,0.23616178,0.043417677,0.7093465,2,5
Fortune||John Dowland,0.7105439,-0.7670209,0.07783385,0.71443903,0.5582507,-0.6230956,-0.81057525,0.030131828,0.039183512,-0.25106668,0.59574354,0.6640904,0.7205605,-0.9288653,0.071238615,0.8613192,-0.78214186,-0.021323785,0.6547812,0.70189244,-0.90425456,-0.91211253,-0.9835454,0.716199,3,1
Gavotte No. 1 (from Lute Suite No. 3); BWV 995||J.S. Bach,0.7105439,-0.7771855,0.07783385,0.76728314,0.7348767,-0.5502048,-0.81057525,0.052433357,0.45823237,-0.18140107,0.7254984,0.7361848,0.69826937,-0.7115272,0.06454713,0.89485794,-0.78214186,-0.86219347,0.827405,0.74834234,-0.17109516,-0.9984315,-0.0667233,0.70739746,5,3
"Grand Ouverture, Op. 61||Mauro Giuliani",0.71063596,-0.80521667,0.2736236,0.889431,0.6680954,-0.270116,-0.8004079,0.24485207,0.66756225,-0.58556956,0.8881871,0.9017872,0.38399452,0.45480055,0.15303802,-0.90456,-0.0905043,-0.07865859,0.9078898,0.7469916,0.9999998,-0.1647861,0.9870791,0.72786534,6,6
"Los Panaderos, Bolero||Julian Arcas",0.7108267,-0.7982775,0.07783385,0.8708434,0.65800977,-0.32297775,-0.8001997,0.27006897,0.49356416,-0.4029485,0.831442,0.8716012,0.316508,0.17018111,0.113785416,-0.1788036,-0.0905043,-0.40343404,0.880303,0.7419039,-0.4444273,-0.85796285,-0.34595162,0.72569865,4,4
Luisito (Minueto)||Agustin Barrios Mandore,0.7107182,-0.8203578,0.2736236,0.8375263,0.6457841,0.012801067,-0.8004079,0.30029565,0.93660986,-0.58556956,0.8767171,0.81471735,0.60353565,0.44471502,0.02216179,0.9271244,-0.5159525,-0.41944858,0.7426468,0.7242296,-0.8378145,-0.4795766,-0.90548986,0.70739746,2,5
The Prince's Toys: The Mechanical Monkey||Nikita Koshkin,0.7120015,-0.80752677,0.4490913,0.9154643,0.529681,0.0053008595,-0.79620683,0.3958409,0.81252044,-0.4029485,0.8802694,0.93292767,0.1271067,0.83462,0.036328543,0.8827289,-0.0905043,0.25135258,0.7805117,0.7199821,0.43921614,-0.91211253,0.386112,0.79738134,6,6
The Prince's Toys: The Mischievous Prince||Nikita Koshkin,0.7109522,-0.806949,0.2736236,0.83650774,0.46248683,0.07382764,-0.7983171,0.4545439,0.87447,-0.4029485,0.8705123,0.772823,0.5434186,0.7629958,0.005018401,0.96071184,-0.5159525,-0.7034974,0.21388626,0.65645623,-0.65273273,-0.4795766,-0.62138355,0.7266364,5,5
The Prince's Toys: The Tin Soldiers||Nikita Koshkin,0.7115872,-0.7615703,0.4490913,0.7594683,0.11796253,0.20693044,-0.7983171,0.45069024,0.8289554,-0.18140107,0.7862434,0.8716012,0.29737547,-0.022538064,0.009767408,0.9896197,-0.91058177,0.04579355,-0.67086655,0.6331067,0.94985974,-0.94621605,0.7918245,0.9189875,7,5
"24 Caprices, Op. 1: 24||Niccolo Paganini",0.7105439,-0.7738488,0.07783385,0.7337816,0.74961233,-0.514646,-0.80857956,0.0358572,0.5503358,-0.27376026,0.7103374,0.7361848,0.66207415,-0.530533,0.050412875,0.78053015,-0.0905043,-0.7451951,0.93625695,0.7647688,-0.826501,-0.91211253,-0.88904035,0.73359275,7,3
